Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Priv,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Privacy,",1-10,1,—,Seed,"Jan 1, 2021",—,—,—,An AI-driven platform that empowers organisations to become privacy compliant.
Crover Group SE,"Apr 26, 2022","Berlin, Berlin, Germany","Information Technology, Lifestyle,,,",11-50,2,—,Seed,"Jun 1, 2023",—,1,4,Subscription Living • Coodo Resorts • Crover Hubs
drillstars,"Feb 4, 2021","Munich, Bayern, Germany","Artificial Intelligence (AI), Information Technology,,,",101-250,1,—,Seed,"Jan 12, 2022",—,—,—,drillstars is an AI-based sports coaching platform.
LIVID,2021,"Köln, Nordrhein-Westfalen, Germany","E-Commerce, Marketing, Retail,,",11-50,1,—,Seed,"Sep 1, 2022",—,—,—,"LIVID is an immersive, digital platform, where retailers, customers and products interact without boundaries."
Lynty,"Nov 12, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), Collaboration,,,",1-10,1,—,Seed,"Mar 20, 2023",—,—,—,Lynty provides a range of interactive product suites designed to manage customer interactions
U.A. Fabrica,2021,"Berlin, Berlin, Germany","Blockchain, Metaverse, Virtual Reality",11-50,1,—,Seed,"Jan 1, 2023",—,1,—,"U.A. Fabrica is a software company that specializes in developning blockchain, virtual reality, metaverse, and games."
OOHLEMON,"May 28, 2020","Stuttgart, Baden-Wurttemberg,","Ad Targeting, Advertising, Advertising Platforms,,,",11-50,1,—,Seed,"Aug 3, 2021",—,—,—,OOHLEMON is an advertising company that gives screens to the community and earns a passive income.
Fein,2020,"Berlin, Berlin, Germany","Casual Games, Developer Platform,",1-10,1,—,Seed,"Feb 24, 2022",—,1,1,Fein is a game-developing firm that offers casual games.
Truck Norris GmbH,2020,"Gröbers, Sachsen-Anhalt, Germany","Artificial Intelligence (AI), Audio,",11-50,1,—,Seed,"May 27, 2020",—,1,—,Akustische Alarmsysteme für LKWs: Sicherheit für Menschen und Waren.
xRouten,2020,"Berlin, Berlin, Germany","Mobile Apps, Navigation, SaaS",—,1,—,Seed,"Oct 6, 2021",—,1,—,The delivery planner for professionals.
API-Lib,"Mar 1, 2023","Berlin, Berlin, Germany","B2B, B2C, Cloud Computing, Enterprise Software,,,",1-10,1,—,Seed,"Jun 10, 2023",—,—,3,"The future of Backend development! Secure, scalable, and user-friendly platform. Join us now and revolutionize your API experience!"
yuccaHR,Jun 2020,"Düsseldorf, Nordrhein-Westfalen,",Software,1-10,1,—,Seed,"May 20, 2021",—,—,—,yuccaHR helps companies to engage with employees by providing an onboarding workflow automation and matchmaking tool.
CBApply,"Nov 1, 2020","Chemnitz, Sachsen, Germany","SaaS, Service Industry, Software",—,1,—,Seed,"Apr 20, 2021",—,1,—,CBApply is short for Cloud-Based Applications which are innovative business applications that are available as software-as-a-service.
trustkey,2020,"Kirchheim, Bayern, Germany","Customer Service, Data Management,,,",1-10,1,—,Seed,"Jul 7, 2021",—,2,—,"Trustkey is a software company that provides living processes-As-A-Service in one system, driven by templates and improved by metrics."
bitsCrunch,"Feb 1, 2021","Munich, Bayern, Germany","Analytics, Artificial Intelligence (AI),,",51-100,4,"$10,600,000",Series A,"Jan 23, 2024","$2,400,000",32,466,bitsCrunch is an AI enhanced decentralised Blockchain analytics and forensics protocol
Predium,Nov 2021,"Munich, Bayern, Germany","Information Services, Real Estate,",51-100,3,"€19,100,000",Series A,"Nov 28, 2024","€13,000,000",17,12,The Real Estate Intelligence Platform for sustainable capital decisions
Aily Labs,2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Information Technology,",251-500,1,"€19,000,000",Series A,"Aug 24, 2023","€19,000,000",1,24,We empower business with AI.
carbmee GmbH,Feb 2021,"Berlin, Berlin, Germany","Enterprise Applications, Software,",51-100,2,"€20,000,000",Series A,"Dec 3, 2024","€20,000,000",2,2,The carbon management solution for complex supply chains.
paretos,Mar 2020,"Heidelberg, Baden-Wurttemberg,","Analytics, Artificial Intelligence (AI),,,,,,,,",11-50,4,"€18,500,000",Series A,"Oct 28, 2024","€8,500,000",6,11,"Paretos is the leading AI-based decision intelligence platform to make effective, data-driven decisions across entire organizations."
Finmid,Jan 2021,"Berlin, Berlin, Germany","Financial Services, FinTech, Lending,",11-50,3,"€35,600,000",Series A,"Apr 15, 2024","€23,000,000",4,31,Finmid enables software companies to integrate financial services into their product portfolio through a single API integration.
ikas,"Jan 1, 2020","Berlin, Berlin, Germany","E-Commerce Platforms, Retail Technology,,",101-250,3,"$24,000,000",Series A,"Apr 4, 2024","$20,000,000",10,8,Ikas is a next-generation e-commerce platform for small to medium-sized businesses.
Atlas Metrics,2021,"Berlin, Berlin, Germany","Business Information Systems,,,",11-50,3,"€17,400,000",Series A,"Sep 30, 2024","€12,200,000",13,14,"Simplify ESG, Automate Compliance"
Neotaste,2021,"Osnabrück, Niedersachsen, Germany","Apps, Internet, Search Engine,",11-50,2,"€21,000,000",Series A,"Mar 14, 2024","€15,100,000",5,17,Neotaste is the developer of the restaurant-finding app that provides free marketing services for restaurateurs.
Reonic,2021,"Augsburg, Bayern, Germany","Renewable Energy, SaaS, Software,",11-50,2,"€13,000,000",Series A,"Sep 4, 2024","€13,000,000",3,2,Reonic is a climate-tech software company that focuses on renewable energy solutions.
LI.FI,Aug 2021,"Berlin, Berlin, Germany","Blockchain, Finance, Financial Services,,,",11-50,2,"$23,000,000",Series A,"Mar 30, 2023","$17,500,000",33,23,LI.FI builds a multi-chain DeFi middleware for the application layer.
Flower Labs,2023,"Hamburg, Hamburg, Germany","Machine Learning, Open Source,,",11-50,2,"$23,600,000",Series A,"Feb 15, 2024","$20,000,000",9,19,"Flower is a federated learning, analytics, and evaluation platform."
bunch,Nov 2021,"Berlin, Berlin, Germany","Financial Services, FinTech, Software",11-50,2,"$22,894,397",Series A,"Jul 25, 2024","$15,500,000",11,7,bunch technology is the Operating System for private markets.
Plancraft,Feb 2020,"Hamburg, Hamburg, Germany",SaaS,11-50,2,"€14,100,000",Series A,"Jun 5, 2024","€12,000,000",6,8,easy SaaS for craftsmen & contractors
Heyflow,Feb 2020,"Hamburg, Hamburg, Germany",Software,11-50,3,"$22,000,000",Series A,"Feb 23, 2024","$16,000,000",5,17,Heyflow is a platform for interactive user experiences that requires no coding.
Y42,2020,"Berlin, Berlin, Germany","Analytics, Business Intelligence,,,,",51-100,2,"$33,900,000",Series A,"Oct 25, 2021","$31,000,000",4,11,Y42 is the first fully managed Modern DataOps Cloud for production-ready data pipelines on top of Google BigQuery and Snowflake.
Banxware,2020,"Berlin, Berlin, Germany","Banking, Financial Services, FinTech,,",51-100,3,"€29,000,000",Series A,"Nov 30, 2023","€15,000,000",11,23,Banxware provides the technology and the funds for business financing of any kind: fully embedded in platforms or as an affiliate solution
Tomorrow University of Applied Sciences,"Nov 1, 2020","Berlin, Berlin, Germany","E-Learning, Education",51-100,3,"€13,800,000",Series A,"Jun 12, 2023","€9,300,000",15,10,"Online university for sustainability, entrepreneurship, and tech. Learn from world-renowned experts."
MARKT-PILOT,Apr 2020,"Esslingen, Baden-Wurttemberg,","Analytics, Machinery Manufacturing,,",51-100,2,"$49,735,894",Series A,"Apr 23, 2024","$43,000,000",2,18,MARKT-PILOT develops software to optimize machine manufacturers' spare parts business through market-driven pricing.
etalytics,2020,"Darmstadt, Hessen, Germany","Artificial Intelligence (AI), Consulting,",11-50,2,"€8,000,000",Series A,"Nov 26, 2024","€8,000,000",4,1,"etalytics offers data-driven energy intelligence solutions using AI. With etaONE®, industries analyze and optimize their energy systems."
Patronus Group,2021,"Berlin, Berlin, Germany","Elderly, Health Care, Information Technology,",51-100,3,"$33,762,032",Series A,"Oct 5, 2022","€27,000,000",11,1,Patronus Group is an elderly well-being company that assists parents and grandparents in living safely and independently in the future.
Cozero,2020,"Berlin, Berlin, Germany","Digital Media, Enterprise Software,,,",11-50,1,"€6,500,000",Series A,"Apr 16, 2024","€6,500,000",7,6,Cozero‘s SaaS empowers companies to decarbonize and boost their business performance.
Knowunity,2020,"Sindelfingen, Baden-Wurttemberg,","E-Learning, Education, Software",51-100,3,"€21,000,000",Series A,"Feb 15, 2023","€9,000,000",13,3,"Knowunity is the digital learning platform with summaries, study notes, presentations, answers and more in one app."
Recyda GmbH,2020,"Freiburg, Baden-Wurttemberg,","Data Management, Fast-Moving Consumer Goods,,,",11-50,3,"€8,050,000",Series A,"Oct 24, 2024","€6,300,000",7,2,Packaging data management and analytics for a circular economy | Recyclability Analysis | EPR-Fee Analysis
ACCURE Battery Intelligence,"Jul 1, 2020","Aachen, Nordrhein-Westfalen,","Analytics, Artificial Intelligence (AI),,,,,,,",51-100,3,"$18,494,830",Series A,"Aug 22, 2023","€7,200,000",5,20,ACCURE is an AI-powered battery analytics company.
Goodbytz,2021,"Hamburg, Hamburg, Germany","Assistive Technology, Cooking,",11-50,2,"€14,500,000",Series A,"Oct 24, 2023","€12,000,000",2,16,Goodbytz creates intelligent robotic kitchen assistants that give chefs more time and creative freedom.
WorkerHero,Mar 2021,"Munich, Bayern, Germany","Human Resources, Recruiting,",11-50,2,"€7,100,000",Series A,"Jul 16, 2024","€4,600,000",6,5,WorkerHero is a modern recruiting tech company to make recruitment easier for companies by automatically delivering job vacancies.
Threedy,"Oct 15, 2020","Darmstadt, Hessen, Germany","3D Technology, Augmented Reality,,,,",51-100,2,"€11,400,000",Series A,"Feb 20, 2024","€9,600,000",8,8,"Building on 25 years of research, Threedy’s visual computing pioneers are leading the development of our platform technology instant3Dhub."
AIPERIA GmbH,2021,"Großrinderfeld, Baden-Wurttemberg,","Artificial Intelligence (AI), Food and Beverage,,",11-50,2,"€7,500,000",Series A,"Apr 18, 2024","€7,500,000",3,—,AI-based planning solution for fresh food
Alaiko,"Mar 23, 2020","Munich, Bayern, Germany","E-Commerce, Logistics, Software",51-100,1,"$30,000,000",Series A,"Jan 18, 2022","$30,000,000",3,4,Enabling e-commerce shops via a world class logistic-as-a-service platform.
OXOLO,2020,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Gaming,,",11-50,1,"€13,000,000",Series A,"Oct 24, 2023","€13,000,000",9,11,OXOLO provides a varied choice of AI characters to build product films that are highly appealing to clients.
Friday Finance,2021,"Berlin, Berlin, Germany","Banking, Finance, Financial Services,,,",51-100,3,"$22,984,098",Series A,"Jun 14, 2022","$20,000,000",15,16,Friday Finance is a finance management platform that automates financial management for startups and SMBs.
AUTOVIO,Jan 2021,"Berlin, Berlin, Germany","Automotive, Consulting, Education,,",11-50,3,"€8,400,000",Series A,"May 29, 2024","€3,800,000",2,2,Autovio provides a full-stack platform of software and business services for the driving education industry.
Eye Able,Oct 2020,"Margetshöchheim, Bayern, Germany","Artificial Intelligence (AI), Assistive Technology,",51-100,1,"€20,000,000",Series A,"Nov 22, 2024","€20,000,000",4,—,Eye Able is a holistic provider of digital accessibility.
Caeli Wind,2021,"Berlin, Berlin, Germany","Intelligent Systems, Marketing,",51-100,3,"€14,000,000",Series A,"May 16, 2024","€11,000,000",5,15,Digital marketplace that identifies wind potential locations for landowners and enables professional AI-supported analysis and marketing.
Telehealth Competence Center,2020,"Hamburg, Hamburg, Germany","Apps, Artificial Intelligence (AI),,,",11-50,1,"€20,000,000",Series A,"Nov 4, 2024","€20,000,000",1,—,Telehealth Competence Center develops digital telemedicine solutions for healthcare sectors.
aimpower,"Jan 1, 2020","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Market Research,,",11-50,1,"€6,500,000",Series A,"Mar 13, 2023","€6,500,000",1,2,"aimpower empowers brands to leverage the power of AI and automation to become better, faster and stronger."
35up,Feb 2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), E-Commerce,,,,,",11-50,2,"$8,300,000",Series A,"Sep 29, 2022","$5,000,000",3,2,Bringing Embedded Cross-Selling into every online checkout.
delphai,"Jan 1, 2020","Berlin, Berlin, Germany","Analytics, Artificial Intelligence (AI),,,,,,",11-50,3,"€4,700,000",Series A,"Jun 6, 2023","€3,800,000",6,13,delphai is your premier analytics platform for actionable insights on the innovations and companies driving change across industries.
cofenster,May 2020,"Hamburg, Hamburg, Germany","Software, Video, Video on Demand",11-50,2,"€9,500,000",Series A,"Feb 10, 2022","€8,000,000",3,1,cofenster is a video software company that enables to quickly and easily create videos in-house.
Qdrant,"Oct 29, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Big Data,,,,",11-50,3,"$37,788,073",Series A,"Jan 23, 2024","$28,000,000",6,32,Qdrant is an open-source vector search engine and database for next-generation AI applications.
Bringoo,Dec 2020,"Hamburg, Hamburg, Germany","E-Commerce, E-Commerce Platforms,,,,,",51-100,4,"€5,800,000",Series A,"Jul 18, 2022","€5,000,000",10,5,Local-Commerce-Platfrom with additional fulfillment and delivery options
Tacto,"Jan 1, 2020","Munich, Bayern, Germany","Artificial Intelligence (AI), Enterprise Software,,,,,",11-50,3,"€56,300,000",Series A,"Dec 11, 2023","€50,000,000",9,5,"Tacto optimizes procurement, ensuring compliance, sustainability, and efficient material sourcing for mid-sized industrial firms."
Quantum Optics Jena,2020,"Jena, Thuringen, Germany","Electronics, Hardware, Manufacturing,",11-50,2,"€8,500,000",Series A,"Sep 11, 2024","€8,500,000",6,5,Quantum Optics Jena develops quantum-based solutions for state-of-the-art communication systems.
BeeOLED,2020,"Dresden, Sachsen, Germany","3D Technology, Information Technology",11-50,1,"€13,300,000",Series A,"Aug 23, 2023","€13,300,000",7,13,BeeOLED solves a significant issue in the OLED field.
Jina AI,"Feb 1, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Cloud Data Services,,,",11-50,3,"$37,500,000",Series A,"Nov 22, 2021","$30,000,000",5,24,Empowering businesses and developers to build neural search solutions in minutes at scale.
ooblee,2021,"Berlin, Berlin, Germany","E-Commerce, Mobile Apps, Social Media,,",11-50,2,"€4,000,000",Series A,"Jan 15, 2023",—,1,1,"ooblee is a multi-feature, community first sales engine with focus on local brick & mortar stores – a social commerce solution"
Composable Finance,2021,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Decentralized Finance (DeFi),,",51-100,2,"$39,000,000",Series A,"Mar 31, 2022","$32,000,000",30,9,Composable Finance is building the interoperable infrastructure for modular DeFi.
Bling.de,"Jun 11, 2021","Berlin, Berlin, Germany","EdTech, Financial Services, FinTech",11-50,3,"€14,700,000",Series A,"Jun 27, 2024","€11,200,000",20,2,"Among Germany's fastest growing fintechs, Bling is reinventing Retail-Banking for families."
Token Fabrik,2020,"Stuttgart, Baden-Wurttemberg,","Blockchain, Cryptocurrency, FinTech,,",1-10,2,"$1,550,000",Series A,"Nov 26, 2021","$1,500,000",2,—,Tokenfabrik enables digital investments in industrial IoT assets with the power of DeFi.
TradeLink,Jan 2020,"München, Bayern, Germany","Collaboration, Logistics, Software",51-100,2,—,Series A,"Jun 21, 2022",—,3,2,TradeLink is a developer of a digital delivery and transport information platform.
Endaxis,"Sep 28, 2021","Düsseldorf, Nordrhein-Westfalen,","Information Technology, Software",1-10,1,"€4,000,000",Series A,"Nov 10, 2021","€4,000,000",—,—,Endaxis offers solutions for data science and software engineering recruitment.
ecomi.io,"Jan 17, 2022","Jena, Thuringen, Germany","Advertising, Information Technology,",1-10,1,"€200,000",Series A,"Jan 22, 2022","€200,000",—,—,environmental protection by using marketing
